datetime,open,close,high,low,value,volume,begin,end
2025-04-21 13:00:00,2902.3,2911.19,2914.62,2899.96,8459352490.380001,0,2025-04-21 13:00:00,2025-04-21 13:59:59
2025-04-21 14:00:00,2911.2,2924.53,2925.95,2910.72,8478712422.629997,0,2025-04-21 14:00:00,2025-04-21 14:59:59
2025-04-21 15:00:00,2924.58,2919.31,2929.91,2914.95,7665012562.07,0,2025-04-21 15:00:00,2025-04-21 15:59:59
2025-04-21 16:00:00,2919.26,2907.75,2923.89,2906.53,6650891314.810005,0,2025-04-21 16:00:00,2025-04-21 16:59:59
2025-04-21 17:00:00,2907.66,2921.68,2922.48,2907.62,5200137413.439995,0,2025-04-21 17:00:00,2025-04-21 17:59:59
2025-04-21 18:00:00,2921.66,2922.46,2923.41,2917.18,3226234906.9400024,0,2025-04-21 18:00:00,2025-04-21 18:54:02
2025-04-22 09:00:00,2945.13,2949.79,2950.01,2943.45,1416047983.41,0,2025-04-22 09:00:00,2025-04-22 09:59:59
2025-04-22 10:00:00,2949.92,2945.51,2952.91,2941.8,9840687002.39,0,2025-04-22 10:00:00,2025-04-22 10:59:59
2025-04-22 11:00:00,2945.53,2935.69,2945.53,2931.24,8889702059.810001,0,2025-04-22 11:00:00,2025-04-22 11:59:59
2025-04-22 12:00:00,2935.59,2926.26,2938.82,2923.48,7555825491.43,0,2025-04-22 12:00:00,2025-04-22 12:59:59
2025-04-22 13:00:00,2926.25,2928.37,2937.55,2924.87,7394985455.029999,0,2025-04-22 13:00:00,2025-04-22 13:59:59
2025-04-22 14:00:00,2928.28,2914.96,2930.99,2914.64,6371156624.010002,0,2025-04-22 14:00:00,2025-04-22 14:59:59
2025-04-22 15:00:00,2914.86,2923.45,2925.01,2914.37,4062915947.9799957,0,2025-04-22 15:00:00,2025-04-22 15:59:59
2025-04-22 16:00:00,2923.44,2942.77,2946.11,2922.65,10454580820.150002,0,2025-04-22 16:00:00,2025-04-22 16:59:59
2025-04-22 17:00:00,2942.84,2949.4,2950.79,2936.51,8512912326.139999,0,2025-04-22 17:00:00,2025-04-22 17:59:59
2025-04-22 18:00:00,2949.32,2954.49,2954.49,2943.68,6593411936.189995,0,2025-04-22 18:00:00,2025-04-22 18:54:01
2025-04-23 09:00:00,2929.78,2930.55,2932.66,2924.92,1649249327.35,0,2025-04-23 09:00:00,2025-04-23 09:59:59
2025-04-23 10:00:00,2930.54,2911.49,2933.64,2900.32,22369657231.730003,0,2025-04-23 10:00:00,2025-04-23 10:59:59
2025-04-23 11:00:00,2911.49,2918.04,2922.84,2911.1,9423362792.449997,0,2025-04-23 11:00:00,2025-04-23 11:59:59
2025-04-23 12:00:00,2918.07,2922.61,2933.33,2905.89,9999114539.64,0,2025-04-23 12:00:00,2025-04-23 12:59:59
2025-04-23 13:00:00,2922.59,2931.63,2938.32,2920.07,7123815689.07,0,2025-04-23 13:00:00,2025-04-23 13:59:59
2025-04-23 14:00:00,2931.56,2931.74,2937.68,2926.26,5616684334.560005,0,2025-04-23 14:00:00,2025-04-23 14:59:59
2025-04-23 15:00:00,2931.63,2929.77,2933.27,2919.21,4151271462.8499985,0,2025-04-23 15:00:00,2025-04-23 15:59:59
2025-04-23 16:00:00,2929.81,2930.96,2939.35,2919.74,4513203801.059998,0,2025-04-23 16:00:00,2025-04-23 16:59:59
2025-04-23 17:00:00,2930.97,2943.35,2943.89,2920.83,5397471753.610008,0,2025-04-23 17:00:00,2025-04-23 17:59:59
2025-04-23 18:00:00,2942.96,2943.23,2946.43,2937.63,4651438610.159988,0,2025-04-23 18:00:00,2025-04-23 18:54:01
2025-04-24 09:00:00,2961.81,2959.46,2961.89,2959.46,551993768.06,0,2025-04-24 09:00:00,2025-04-24 09:59:59
2025-04-24 10:00:00,2959.52,2963.68,2966.81,2952.9,8576803287.74,0,2025-04-24 10:00:00,2025-04-24 10:59:59
